symbol,quarter,promoter,public
SPAL,2023-09-30,61.93,38.07
SPANDANA,2023-09-30,60.41,39.59
SPARC,2023-09-30,65.67,34.33
SPCENET,2023-09-30,16.51,83.49
SPECIALITY,2023-09-30,50.84,49.16
SPECTRUM,2023-09-30,74.88,25.12
SPENCERS,2023-09-30,58.81,41.05
SPIC,2023-09-30,53.38,46.62
SPLIL,2023-09-30,68.93,31.07
SPLPETRO,2023-09-30,64.24,35.76
SPMLINFRA,2023-09-30,39.35,60.65
SPORTKING,2023-09-30,74.36,25.64
SREEL,2023-09-30,75.0,25.0
SRF,2023-09-30,50.53,49.47
SRGHFL,2023-09-30,67.83,32.17
SRHHYPOLTD,2023-09-30,62.09,37.91
SRPL,2023-09-30,17.03,82.97
SSWL,2023-09-30,62.27,37.73
STAR,2023-09-30,27.78,72.22
STARCEMENT,2023-09-30,66.55,33.45
STARHEALTH,2023-09-30,58.02,41.98
STARPAPER,2023-09-30,44.93,55.07
STARTECK,2023-09-30,71.69,28.31
STCINDIA,2023-09-30,90.0,10.0
STEELCAS,2023-09-30,45.0,55.0
STEELCITY,2023-09-30,69.27,30.73
STEELXIND,2023-09-30,55.92,44.08
STEL,2023-09-30,64.68,35.32
STERTOOLS,2023-09-30,65.77,34.23
STLTECH,2023-09-30,54.0,46.0
STOVEKRAFT,2023-09-30,55.92,44.08
STYLAMIND,2023-09-30,54.61,45.39
STYRENIX,2023-09-30,62.73,37.27
SUBEXLTD,2023-09-30,0.0,98.44
SUBROS,2023-09-30,36.79,63.21
SUDARCOLOR,2023-09-30,54.37,45.63
SUDARSCHEM,2023-09-30,35.82,64.18
SUKHJITS,2023-09-30,66.23,33.77
SULA,2023-09-30,26.27,73.73
SUMEETINDS,2023-09-30,21.67,78.33
SUMICHEM,2023-09-30,75.0,25.0
SUMIT,2023-09-30,69.94,30.06
SUMMITSEC,2023-09-30,74.65,25.35
SUNDARAM,2023-09-30,31.07,68.93
SUNDARMFIN,2023-09-30,38.49,60.71
SUNDRMBRAK,2023-09-30,65.54,34.46
SUNDRMFAST,2023-09-30,48.51,51.49
SUNDROP,2023-09-30,51.77,47.71
SUNFLAG,2023-09-30,51.16,48.84
SUNPHARMA,2023-09-30,54.48,45.52
SUNTECK,2023-09-30,67.22,32.78
SUNTV,2023-09-30,75.0,25.0
SUPERHOUSE,2023-09-30,54.88,45.12
SUPERSPIN,2023-09-30,42.8,57.2
SUPRAJIT,2023-09-30,44.62,55.38
SUPREMEENG,2023-09-30,41.27,58.73
SUPREMEIND,2023-09-30,48.85,51.15
SUPRIYA,2023-09-30,68.3,31.7
SURANASOL,2023-09-30,64.54,35.46
SURYALAXMI,2023-09-30,60.94,39.06
SURYAROSNI,2023-09-30,62.96,36.13
SURYODAY,2023-09-30,22.4,77.6
SUTLEJTEX,2023-09-30,63.96,36.04
SUVEN,2023-09-30,69.57,30.43
SUVIDHAA,2023-09-30,38.77,61.23
SUZLON,2023-09-30,13.29,86.71
SVLL,2023-09-30,73.0,27.0
SVPGLOB,2023-09-30,52.75,47.25
SWANCORP,2023-09-30,64.09,35.91
SWARAJ,2023-09-30,68.91,31.09
SWARAJENG,2023-09-30,52.12,47.88
SWELECTES,2023-09-30,56.37,43.63
SWSOLAR,2023-09-30,67.56,32.44
SYMPHONY,2023-09-30,73.39,26.61
SYNCOMF,2023-09-30,50.57,49.43
SYNGENE,2023-09-30,54.79,44.72
SYRMA,2023-09-30,47.21,52.79
TAINWALCHM,2023-09-30,67.05,32.95
TAJGVK,2023-09-30,74.99,25.01
TAKE,2023-09-30,53.41,46.59
TALBROAUTO,2023-09-30,58.42,41.58
TALWALKARS,2023-09-30,38.49,61.51
TANLA,2023-09-30,44.16,55.84
TARACHAND,2023-09-30,73.34,26.66
TARAPUR,2023-09-30,44.63,55.37
TARC,2023-09-30,64.96,35.04
TARIL,2023-09-30,74.91,25.09
TARMAT,2023-09-30,33.24,66.76
TARSONS,2023-09-30,47.31,52.69
TASTYBITE,2023-09-30,74.23,25.77
TATACHEM,2023-09-30,37.98,62.02
TATACOMM,2023-09-30,58.86,41.14
TATACONSUM,2023-09-30,34.42,65.58
TATAELXSI,2023-09-30,43.92,56.08
TATAINVEST,2023-09-30,73.38,26.62
TATAPOWER,2023-09-30,46.86,53.14
TATASTEEL,2023-09-30,33.9,66.1
TATVA,2023-09-30,72.02,27.98
TBZ,2023-09-30,74.12,25.88
TCI,2023-09-30,68.94,31.06
TCIEXP,2023-09-30,69.62,30.38
TCIFINANCE,2023-09-30,24.72,75.28
TCPLPACK,2023-09-30,55.74,44.02
TCS,2023-09-30,72.3,27.7
TDPOWERSYS,2023-09-30,34.27,65.73
TEAMGTY,2023-09-30,74.92,25.08
TEAMLEASE,2023-09-30,31.61,68.35
TECHIN,2023-09-30,18.42,81.58
TECHM,2023-09-30,35.13,64.87
TECHNOE,2023-09-30,61.51,38.49
TECILCHEM,2023-09-30,47.71,52.29
TEGA,2023-09-30,74.88,25.12
TEJASNET,2023-09-30,55.92,44.08
TEMBO,2023-09-30,55.43,44.57
TERASOFT,2023-09-30,47.53,52.47
TEXINFRA,2023-09-30,65.17,34.83
TEXMOPIPES,2023-09-30,44.24,55.76
TEXRAIL,2023-09-30,58.7,41.3
TFCILTD,2023-09-30,17.96,82.04
TFL,2023-09-30,61.8,38.2
TGBHOTELS,2023-09-30,31.71,68.29
THANGAMAYL,2023-09-30,67.16,32.84
THEINVEST,2023-09-30,72.12,27.88
THEJO,2023-09-30,54.22,45.78
THEMISMED,2023-09-30,67.16,32.84
THERMAX,2023-09-30,61.98,32.53
THOMASCOOK,2023-09-30,72.34,26.45
THOMASCOTT,2023-09-30,69.64,30.36
THYROCARE,2023-09-30,71.14,28.86
TI,2023-09-30,41.97,58.03
TIIL,2023-09-30,74.61,25.39
TIINDIA,2023-09-30,46.11,53.89
TIJARIA,2023-09-30,35.16,64.84
TIL,2023-09-30,56.3,43.7
TIMETECHNO,2023-09-30,51.69,48.31
TIMKEN,2023-09-30,57.7,42.3
TIPSFILMS,2023-09-30,74.98,25.02
TIPSMUSIC,2023-09-30,75.0,25.0
TIRUMALCHM,2023-09-30,42.17,57.83
TIRUPATIFL,2023-09-30,57.69,42.31
TITAGARH,2023-09-30,44.97,55.03
TITAN,2023-09-30,52.9,47.1
TMB,2023-09-30,0.0,100.0
TMPV,2023-09-30,46.38,53.62
TNPETRO,2023-09-30,34.54,65.46
TNPL,2023-09-30,35.32,64.68
TNTELE,2023-09-30,63.63,36.37
TOKYOPLAST,2023-09-30,64.5,35.5
TORNTPHARM,2023-09-30,71.25,28.75
TORNTPOWER,2023-09-30,53.57,46.43
TOTAL,2023-09-30,48.18,51.82
TOUCHWOOD,2023-09-30,64.38,35.62
TPHQ,2023-09-30,40.89,59.11
TPLPLASTEH,2023-09-30,74.86,25.14
TRACXN,2023-09-30,35.22,64.78
TRANSWORLD,2023-09-30,70.44,29.56
TREEHOUSE,2023-09-30,20.54,79.46
TREJHARA,2023-09-30,30.0,70.0
TREL,2023-09-30,69.92,30.08
TRENT,2023-09-30,37.01,62.99
TRF,2023-09-30,34.12,65.88
TRIDENT,2023-09-30,73.19,25.56
TRIGYN,2023-09-30,44.51,55.49
TRITURBINE,2023-09-30,55.84,44.16
TRIVENI,2023-09-30,60.98,39.02
TRU,2023-09-30,50.77,49.23
TSFINV,2023-09-30,55.59,43.77
TTKHLTCARE,2023-09-30,74.56,25.44
TTKPRESTIG,2023-09-30,70.41,29.59
TTL,2023-09-30,58.66,41.34
TTML,2023-09-30,74.36,25.64
TVSELECT,2023-09-30,59.91,40.09
TVSHLTD,2023-09-30,74.45,25.55
TVSMOTOR,2023-09-30,50.27,49.73
TVSSCS,2023-09-30,43.4,56.6
TVSSRICHAK,2023-09-30,45.7,54.3
TVTODAY,2023-09-30,58.45,41.55
TVVISION,2023-09-30,36.61,63.39
UBL,2023-09-30,70.99,29.01
UCAL,2023-09-30,70.28,29.72
UCOBANK,2023-09-30,95.39,4.61
UDS,2023-09-30,58.47,41.53
UFBL,2023-09-30,33.77,66.23
UFLEX,2023-09-30,44.58,55.42
UFO,2023-09-30,22.58,77.42
UGARSUGAR,2023-09-30,44.34,55.66
UGROCAP,2023-09-30,2.24,96.42
UJJIVANSFB,2023-09-30,73.66,26.34
ULTRACEMCO,2023-09-30,59.96,39.86
UMAEXPORTS,2023-09-30,72.54,27.46
UMESLTD,2023-09-30,40.75,59.25
UMIYA-MRO,2023-09-30,55.04,44.96
UNICHEMLAB,2023-09-30,70.21,29.79
UNIDT,2023-09-30,74.65,25.35
UNIENTER,2023-09-30,73.78,26.22
UNIINFO,2023-09-30,50.91,49.09
UNIONBANK,2023-09-30,76.99,23.01
UNIPARTS,2023-09-30,65.66,33.4
UNITDSPR,2023-09-30,56.67,43.33
UNITECH,2023-09-30,5.13,94.87
UNITEDPOLY,2023-09-30,45.54,54.46
UNITEDTEA,2023-09-30,49.79,50.21
UNIVAFOODS,2023-09-30,22.02,77.98
UNIVASTU,2023-09-30,73.11,26.89
UNIVCABLES,2023-09-30,61.89,38.11
UNIVPHOTO,2023-09-30,74.55,25.45
UNOMINDA,2023-09-30,68.73,31.27
UPL,2023-09-30,32.52,67.48
URAVIDEF,2023-09-30,72.73,27.27
URJA,2023-09-30,22.56,77.44
USHAMART,2023-09-30,47.51,52.49
USK,2023-09-30,65.93,34.07
UTIAMC,2023-09-30,0.0,100.0
UTKARSHBNK,2023-09-30,69.28,30.72
UTTAMSUGAR,2023-09-30,72.85,27.15
V2RETAIL,2023-09-30,54.26,45.74
VADILALIND,2023-09-30,64.73,35.27
VAIBHAVGBL,2023-09-30,57.13,42.82
VAISHALI,2023-09-30,26.62,73.38
VAKRANGEE,2023-09-30,42.6,57.4
VALECHAENG,2023-09-30,18.09,81.91
VALIANTLAB,2023-09-30,74.94,25.06
VALIANTORG,2023-09-30,37.9,62.1
VARDHACRLC,2023-09-30,74.97,25.03
VARDMNPOLY,2023-09-30,55.2,44.8
VARROC,2023-09-30,75.0,25.0
VASCONEQ,2023-09-30,32.2,67.8
VASWANI,2023-09-30,58.33,41.67
VBL,2023-09-30,63.1,36.9
VCL,2023-09-30,18.1,81.9
VEDL,2023-09-30,63.71,36.21
VEEDOL,2023-09-30,57.28,40.26
VENKEYS,2023-09-30,56.11,43.89
VENUSPIPES,2023-09-30,48.63,51.37
VENUSREM,2023-09-30,41.76,58.24
VERANDA,2023-09-30,53.46,46.54
VERTOZ,2023-09-30,48.96,51.04
VESUVIUS,2023-09-30,55.57,44.43
VETO,2023-09-30,47.15,52.85
VGL,2023-09-30,65.8,34.2
VGUARD,2023-09-30,55.62,44.38
VHL,2023-09-30,74.9,25.1
VIDHIING,2023-09-30,64.27,35.73
VIJAYA,2023-09-30,54.9,45.1
VIJIFIN,2023-09-30,44.97,55.03
VIKASECO,2023-09-30,6.87,93.13
VIKASLIFE,2023-09-30,11.4,88.6
VIMTALABS,2023-09-30,37.01,62.99
VINATIORGA,2023-09-30,74.06,25.94
VINDHYATEL,2023-09-30,43.54,56.46
VINEETLAB,2023-09-30,38.66,61.34
VINNY,2023-09-30,71.87,28.13
VINYLINDIA,2023-09-30,50.41,49.59
VIPCLOTHNG,2023-09-30,49.59,50.41
VIPIND,2023-09-30,51.22,48.78
VIPULLTD,2023-09-30,63.43,36.57
VIRINCHI,2023-09-30,40.04,59.96
VISACHROME,2023-09-30,48.27,51.73
VISAKAIND,2023-09-30,48.42,51.58
VISHNU,2023-09-30,68.36,31.64
VISHWARAJ,2023-09-30,33.69,66.31
VITAL,2023-09-30,73.43,26.57
VIVIANA,2023-09-30,73.2,26.8
VIVIDHA,2023-09-30,5.63,94.37
VIYASH,2023-09-30,52.79,46.82
VLEGOV,2023-09-30,42.6,57.4
VLSFINANCE,2023-09-30,50.84,49.16
VMART,2023-09-30,44.33,55.67
VOLTAMP,2023-09-30,38.0,62.0
VOLTAS,2023-09-30,30.3,69.7
VPRPL,2023-09-30,67.81,32.19
VRLLOG,2023-09-30,60.24,39.76
VSSL,2023-09-30,60.71,39.29
VSTIND,2023-09-30,32.16,67.47
VSTTILLERS,2023-09-30,55.57,44.43
VTL,2023-09-30,64.11,35.89
WAAREEINDO,2023-09-30,96.15,3.85
WABAG,2023-09-30,19.13,80.87
WALCHANNAG,2023-09-30,34.87,65.13
WANBURY,2023-09-30,39.8,60.2
WEALTH,2023-09-30,74.01,25.99
WEBELSOLAR,2023-09-30,26.77,73.23
WEIZMANIND,2023-09-30,67.87,32.13
WEL,2023-09-30,71.79,28.21
WELCORP,2023-09-30,49.96,50.0
WELENT,2023-09-30,54.51,44.04
WELINV,2023-09-30,74.58,25.42
WELSPUNLIV,2023-09-30,70.5,28.49
WENDT,2023-09-30,75.0,25.0
WESTLIFE,2023-09-30,56.22,43.47
WEWIN,2023-09-30,70.8,29.2
WHEELS,2023-09-30,58.31,41.69
WHIRLPOOL,2023-09-30,75.0,25.0
WILLAMAGOR,2023-09-30,62.01,37.99
WINDLAS,2023-09-30,62.82,37.18
WINDMACHIN,2023-09-30,58.52,41.48
WINSOME,2023-09-30,38.67,61.33
WIPL,2023-09-30,41.01,58.99
WIPRO,2023-09-30,72.93,26.93
WOCKPHARMA,2023-09-30,55.14,44.86
WONDERLA,2023-09-30,69.72,30.28
WORTHPERI,2023-09-30,74.3,25.7
WSI,2023-09-30,57.68,42.32
WSTCSTPAPR,2023-09-30,56.53,43.47
XCHANGING,2023-09-30,75.0,25.0
XELPMOC,2023-09-30,54.02,45.98
XPROINDIA,2023-09-30,45.26,54.74
YASHO,2023-09-30,71.54,28.46
YATHARTH,2023-09-30,66.33,33.67
YATRA,2023-09-30,64.46,35.54
YESBANK,2023-09-30,0.0,100.0
YUKEN,2023-09-30,56.16,43.84
ZAGGLE,2023-09-30,44.07,55.93
ZEEL,2023-09-30,3.99,96.01
ZEELEARN,2023-09-30,15.05,84.95
ZEEMEDIA,2023-09-30,0.07,99.93
ZENITHEXPO,2023-09-30,51.75,48.25
ZENITHSTL,2023-09-30,15.64,84.36
ZENSARTECH,2023-09-30,49.2,50.8
ZENTEC,2023-09-30,57.45,41.78
ZFCVINDIA,2023-09-30,75.0,25.0
ZIMLAB,2023-09-30,33.26,66.74
ZODIAC,2023-09-30,72.86,27.14
ZODIACLOTH,2023-09-30,71.4,28.6
ZOTA,2023-09-30,66.16,33.84
ZUARI,2023-09-30,65.28,34.72
ZUARIIND,2023-09-30,56.81,43.19
ZYDUSLIFE,2023-09-30,74.98,25.02
ZYDUSWELL,2023-09-30,68.54,31.46
20MICRONS,2023-12-31,44.95,55.05
21STCENMGM,2023-12-31,64.25,35.75
360ONE,2023-12-31,17.77,82.23
3IINFOLTD,2023-12-31,0.0,100.0
3MINDIA,2023-12-31,75.0,25.0
3PLAND,2023-12-31,73.3,26.7
5PAISA,2023-12-31,32.84,67.15
63MOONS,2023-12-31,45.63,54.37
A2ZINFRA,2023-12-31,28.14,71.86
AAATECH,2023-12-31,71.51,28.49
AAKASH,2023-12-31,66.67,33.33
AAREYDRUGS,2023-12-31,50.04,49.96
AARON,2023-12-31,73.06,26.94
AARTECH,2023-12-31,52.68,47.32
AARTIDRUGS,2023-12-31,57.47,42.53
AARTIIND,2023-12-31,43.55,56.45
AARTIPHARM,2023-12-31,46.46,53.54
AARTISURF,2023-12-31,49.81,50.19
AARVI,2023-12-31,73.54,26.46
AAVAS,2023-12-31,39.1,60.9
ABAN,2023-12-31,46.0,54.0
ABB,2023-12-31,75.0,25.0
ABCAPITAL,2023-12-31,68.98,31.02
ABFRL,2023-12-31,55.45,44.05
ABHISHEK,2023-12-31,57.63,42.37
ABMINTLLTD,2023-12-31,74.7,25.3
ABREL,2023-12-31,50.21,48.67
ABSLAMC,2023-12-31,86.47,13.53
ACC,2023-12-31,56.69,43.31
ACCELYA,2023-12-31,74.66,25.34
ACCURACY,2023-12-31,63.69,36.31
ACE,2023-12-31,66.76,33.18
ACEINTEG,2023-12-31,73.53,26.47
ACI,2023-12-31,53.45,46.55
ACL,2023-12-31,95.0,5.0
ACUTAAS,2023-12-31,39.91,60.09
ADANIENSOL,2023-12-31,73.22,26.78
ADANIENT,2023-12-31,72.61,27.39
ADANIGREEN,2023-12-31,56.37,43.63
ADANIPORTS,2023-12-31,65.89,34.11
ADANIPOWER,2023-12-31,71.75,28.25
ADFFOODS,2023-12-31,36.28,63.72
ADL,2023-12-31,72.96,27.04
ADOR,2023-12-31,56.9,43.1
ADROITINFO,2023-12-31,46.31,53.69
ADSL,2023-12-31,52.26,47.74
ADVANIHOTR,2023-12-31,50.25,49.75
ADVENZYMES,2023-12-31,43.62,56.38
AEGISLOG,2023-12-31,58.1,41.9
AEROENTER,2023-12-31,51.59,48.41
AEROFLEX,2023-12-31,66.99,33.01
AERONEU,2023-12-31,60.46,39.54
AETHER,2023-12-31,81.79,18.21
AFFLE,2023-12-31,56.93,43.01
AFSL,2023-12-31,72.09,27.91
AGARIND,2023-12-31,57.2,42.8
AGI,2023-12-31,60.24,39.76
AGRITECH,2023-12-31,31.1,68.9
AGROPHOS,2023-12-31,54.27,45.73
AHLADA,2023-12-31,50.5,49.5
AHLEAST,2023-12-31,65.63,34.37
AHLUCONT,2023-12-31,55.32,44.68
AHLWEST,2023-12-31,70.72,29.28
AIAENG,2023-12-31,58.47,41.53
AIFL,2023-12-31,14.76,85.24
AIRAN,2023-12-31,72.37,27.63
AIROLAM,2023-12-31,53.01,46.99
AJANTPHARM,2023-12-31,66.21,33.79
AJMERA,2023-12-31,69.73,30.27
AJOONI,2023-12-31,26.44,73.56
AJRINFRA,2023-12-31,20.6,79.4
AKASH,2023-12-31,74.59,25.41
AKG,2023-12-31,57.84,42.16
AKI,2023-12-31,69.28,30.72
AKSHAR,2023-12-31,37.57,62.43
AKSHARCHEM,2023-12-31,62.7,37.3
AKSHOPTFBR,2023-12-31,26.77,73.23
ALANKIT,2023-12-31,52.02,47.98
ALBERTDAVD,2023-12-31,62.04,37.96
ALEMBICLTD,2023-12-31,70.88,29.12
ALICON,2023-12-31,55.71,44.29
ALIVUS,2023-12-31,82.85,17.15
ALKALI,2023-12-31,69.59,30.41
ALKEM,2023-12-31,56.74,43.26
ALKYLAMINE,2023-12-31,71.96,28.04
ALLCARGO,2023-12-31,69.92,30.08
ALLDIGI,2023-12-31,73.39,26.61
ALMONDZ,2023-12-31,58.2,41.8
ALOKINDS,2023-12-31,75.0,25.0
ALPA,2023-12-31,57.29,42.71
ALPHAGEO,2023-12-31,46.09,53.91
ALPSINDUS,2023-12-31,22.21,77.79
AMBER,2023-12-31,40.31,59.69
AMBICAAGAR,2023-12-31,44.86,55.14
AMBIKCO,2023-12-31,50.17,49.83
AMBUJACEM,2023-12-31,63.19,36.81
AMDIND,2023-12-31,66.69,33.31
AMJLAND,2023-12-31,65.9,34.1
AMNPLST,2023-12-31,73.17,26.83
AMRUTANJAN,2023-12-31,50.59,49.23
ANANDRATHI,2023-12-31,48.2,51.8
ANANTRAJ,2023-12-31,63.3,36.7
ANDHRAPAP,2023-12-31,72.31,27.69
ANDHRSUGAR,2023-12-31,47.08,52.92
ANGELONE,2023-12-31,38.24,61.76
ANIKINDS,2023-12-31,37.81,62.19
ANMOL,2023-12-31,57.08,42.92
ANSALAPI,2023-12-31,48.77,51.23
ANTELOPUS,2023-12-31,30.46,69.54
ANTGRAPHIC,2023-12-31,14.54,85.46
ANUP,2023-12-31,42.91,57.09
ANURAS,2023-12-31,61.41,38.59
APARINDS,2023-12-31,57.77,42.23
APCL,2023-12-31,75.0,25.0
APCOTEXIND,2023-12-31,58.23,41.77
APEX,2023-12-31,72.62,27.38
APLAPOLLO,2023-12-31,29.57,70.43
APLLTD,2023-12-31,69.61,30.39
APOLLO,2023-12-31,53.21,46.79
APOLLOHOSP,2023-12-31,29.33,70.67
APOLLOPIPE,2023-12-31,50.8,48.66
APOLLOTYRE,2023-12-31,37.34,62.66
APOLSINHOT,2023-12-31,64.68,35.32
APTECHT,2023-12-31,47.36,52.64
APTUS,2023-12-31,62.09,37.91
ARCHIDPLY,2023-12-31,69.89,30.11
ARCHIES,2023-12-31,62.25,37.75
ARCOTECH,2023-12-31,39.96,60.04
ARENTERP,2023-12-31,63.66,36.34
ARIES,2023-12-31,52.66,47.34
ARIHANTCAP,2023-12-31,70.18,29.82
ARIHANTSUP,2023-12-31,74.71,25.29
ARMANFIN,2023-12-31,23.65,76.35
AROGRANITE,2023-12-31,41.06,58.94
ARROWGREEN,2023-12-31,68.6,31.4
ARSHIYA,2023-12-31,14.37,85.63
ARSSINFRA,2023-12-31,46.7,53.3
ARTEMISMED,2023-12-31,68.03,31.97
ARTNIRMAN,2023-12-31,73.75,26.25
ARVEE,2023-12-31,73.5,26.5
ARVIND,2023-12-31,41.14,58.86
ARVINDFASN,2023-12-31,36.78,63.22
ARVSMART,2023-12-31,50.55,49.45
ASAHIINDIA,2023-12-31,54.23,45.77
ASAHISONG,2023-12-31,66.77,33.23
ASAL,2023-12-31,75.0,25.0
ASALCBR,2023-12-31,59.29,40.71
ASHAPURMIN,2023-12-31,45.33,54.67
ASHIANA,2023-12-31,61.11,38.89
ASHIMASYN,2023-12-31,73.49,26.51
ASHOKA,2023-12-31,54.48,45.52
ASHOKAMET,2023-12-31,53.65,46.35
ASHOKLEY,2023-12-31,51.53,48.47
ASIANENE,2023-12-31,61.38,37.64
ASIANHOTNR,2023-12-31,50.69,49.31
ASIANPAINT,2023-12-31,52.63,47.34
ASIANTILES,2023-12-31,29.02,70.98
ASIL,2023-12-31,50.96,49.04
ASKAUTOLTD,2023-12-31,85.0,15.0
ASMS,2023-12-31,90.0,10.0
ASPINWALL,2023-12-31,64.46,35.54
ASTEC,2023-12-31,66.75,33.25
ASTERDM,2023-12-31,41.88,57.75
ASTRAL,2023-12-31,54.1,45.9
ASTRAMICRO,2023-12-31,6.54,93.46
ASTRAZEN,2023-12-31,75.0,25.0
ATALREAL,2023-12-31,49.25,50.75
ATAM,2023-12-31,68.26,31.74
ATCOM,2023-12-31,14.1,85.9
ATGL,2023-12-31,74.8,25.2
ATL,2023-12-31,69.92,30.08
ATLANTAA,2023-12-31,71.96,28.04
ATLASCYCLE,2023-12-31,41.92,58.08
ATNINTER,2023-12-31,0.17,99.83
ATUL,2023-12-31,45.07,54.93
ATULAUTO,2023-12-31,42.73,57.27
AUBANK,2023-12-31,25.46,74.54
AURIONPRO,2023-12-31,30.18,69.82
AUROPHARMA,2023-12-31,51.83,48.17
AURUM,2023-12-31,50.34,49.66
AURUS,2023-12-31,36.37,63.63
AUSOMENT,2023-12-31,73.7,26.3
AUTOAXLES,2023-12-31,71.04,28.96
AUTOIND,2023-12-31,33.39,66.61
AVADHSUGAR,2023-12-31,60.39,39.61
AVALON,2023-12-31,50.97,49.03
AVANTIFEED,2023-12-31,43.28,56.72
AVG,2023-12-31,61.22,38.78
AVONMORE,2023-12-31,69.17,30.83
AVROIND,2023-12-31,70.37,29.63
AVTNPL,2023-12-31,75.0,25.0
AWHCL,2023-12-31,46.07,53.75
AWL,2023-12-31,87.87,12.13
AXISBANK,2023-12-31,8.2,91.8
AXISCADES,2023-12-31,65.74,34.26
AXITA,2023-12-31,64.77,35.23
AYMSYNTEX,2023-12-31,73.59,26.41
AZAD,2023-12-31,65.9,34.1
BAFNAPH,2023-12-31,88.43,11.57
BAGFILMS,2023-12-31,46.86,53.14
BAIDFIN,2023-12-31,34.8,65.2
BAJAJ-AUTO,2023-12-31,54.94,45.06
BAJAJCON,2023-12-31,39.35,60.65
BAJAJELEC,2023-12-31,62.85,37.15
BAJAJFINSV,2023-12-31,60.69,39.1
BAJAJHCARE,2023-12-31,67.73,32.27
BAJAJHIND,2023-12-31,24.95,74.91
BAJAJHLDNG,2023-12-31,51.46,48.54
BAJEL,2023-12-31,62.85,37.15
BAJFINANCE,2023-12-31,54.78,45.17
BALAJITELE,2023-12-31,34.34,65.66
BALAMINES,2023-12-31,53.7,46.3
BALAXI,2023-12-31,71.22,28.78
BALKRISHNA,2023-12-31,58.7,41.3
BALKRISIND,2023-12-31,58.29,41.71
BALLARPUR,2023-12-31,0.1,99.9
BALMLAWRIE,2023-12-31,0.0,100.0
BALPHARMA,2023-12-31,51.23,48.77
BALRAMCHIN,2023-12-31,42.9,57.1
BANARBEADS,2023-12-31,58.14,41.86
BANARISUG,2023-12-31,58.7,41.3
BANCOINDIA,2023-12-31,67.88,32.12
BANDHANBNK,2023-12-31,39.98,60.02
BANG,2023-12-31,72.98,27.02
BANKA,2023-12-31,53.2,46.8
BANKBARODA,2023-12-31,63.97,36.03
BANKINDIA,2023-12-31,73.38,26.62
BANSWRAS,2023-12-31,54.37,45.63
BASF,2023-12-31,73.33,26.67
BASML,2023-12-31,55.33,44.67
BATAINDIA,2023-12-31,50.16,49.84
BBL,2023-12-31,33.72,66.28
BBOX,2023-12-31,71.14,28.86
BBTC,2023-12-31,74.05,25.95
BBTCL,2023-12-31,71.43,28.57
BCG,2023-12-31,18.38,81.62
BCLIND,2023-12-31,56.92,43.08
BCONCEPTS,2023-12-31,48.82,51.18
BDL,2023-12-31,74.93,25.07
BEARDSELL,2023-12-31,56.1,43.9
BECTORFOOD,2023-12-31,51.17,48.83
BEDMUTHA,2023-12-31,57.05,42.95
BEL,2023-12-31,51.14,48.86
BEML,2023-12-31,54.03,45.97
BEPL,2023-12-31,57.47,42.53
BERGEPAINT,2023-12-31,74.99,25.01
BETA,2023-12-31,66.73,33.26
BFINVEST,2023-12-31,74.13,25.87
BFUTILITIE,2023-12-31,56.74,43.26
BGLOBAL,2023-12-31,48.46,51.54
BGRENERGY,2023-12-31,75.0,25.0
BHAGCHEM,2023-12-31,23.52,76.48
BHAGERIA,2023-12-31,71.75,28.25
BHAGYANGR,2023-12-31,73.76,26.24
BHANDARI,2023-12-31,27.63,72.37
BHARATFORG,2023-12-31,45.25,54.75
BHARATGEAR,2023-12-31,55.32,44.68
BHARATRAS,2023-12-31,74.99,25.01
BHARATWIRE,2023-12-31,39.83,60.17
BHARTIARTL,2023-12-31,54.57,45.38
BHEL,2023-12-31,63.17,36.83
BIGBLOC,2023-12-31,72.27,27.73
BIKAJI,2023-12-31,75.18,24.82
BIL,2023-12-31,57.35,42.65
BILVYAPAR,2023-12-31,52.62,47.38
BIOCON,2023-12-31,60.64,39.03
BIOFILCHEM,2023-12-31,46.82,53.18
BIRLACABLE,2023-12-31,66.35,33.65
BIRLACORPN,2023-12-31,62.9,37.1
BIRLAMONEY,2023-12-31,73.53,26.47
BIRLANU,2023-12-31,40.57,59.43
BKMINDST,2023-12-31,37.54,62.46
BLAL,2023-12-31,54.03,45.97
BLBLIMITED,2023-12-31,36.84,63.16
BLISSGVS,2023-12-31,34.97,65.03
BLKASHYAP,2023-12-31,61.65,38.35
BLS,2023-12-31,71.52,28.37
BLUECHIP,2023-12-31,11.25,88.75
BLUECOAST,2023-12-31,61.39,38.61
BLUEDART,2023-12-31,75.0,25.0
BLUEJET,2023-12-31,86.0,14.0
BLUESTARCO,2023-12-31,36.49,63.51
BODALCHEM,2023-12-31,57.39,42.61
BOHRAIND,2023-12-31,27.13,72.87
BOMDYEING,2023-12-31,53.58,46.42
BOROLTD,2023-12-31,70.18,29.82
BORORENEW,2023-12-31,61.6,38.4
BOSCH-HCIL,2023-12-31,74.25,25.75
BOSCHLTD,2023-12-31,70.54,29.46
BPCL,2023-12-31,52.98,46.71
BPL,2023-12-31,63.13,36.87
BRIGADE,2023-12-31,43.75,56.25
BRITANNIA,2023-12-31,50.55,49.45
BRNL,2023-12-31,53.76,46.24
BROOKS,2023-12-31,63.59,36.41
BSE,2023-12-31,0.0,76.86
BSHSL,2023-12-31,73.81,26.19
BSL,2023-12-31,56.71,43.29
